 layer     x     y   occupancy           %    capacity
     0     0     0           0       0.000           0
     0     0     1           7       7.000         100
     0     0     2          13      13.000         100
     0     0     3          19      19.000         100
     0     0     4          25      25.000         100
     0     0     5          24      24.000         100
     0     0     6          24      24.000         100
     0     0     7          20      20.000         100
     0     0     8          11      11.000         100
     0     0     9           9       9.000         100
     0     0    10           4       4.000         100
     0     0    11           0       0.000           0
     0     1     0           0       0.000           0
     0     1     1           6       6.000         100
     0     1     2          10      10.000         100
     0     1     3          13      13.000         100
     0     1     4          23      23.000         100
     0     1     5          24      24.000         100
     0     1     6          21      21.000         100
     0     1     7          16      16.000         100
     0     1     8           8       8.000         100
     0     1     9           8       8.000         100
     0     1    10           7       7.000         100
     0     1    11           0       0.000           0
     0     2     0           0       0.000           0
     0     2     1          11      11.000         100
     0     2     2          19      19.000         100
     0     2     3          24      24.000         100
     0     2     4          27      27.000         100
     0     2     5          33      33.000         100
     0     2     6          27      27.000         100
     0     2     7          24      24.000         100
     0     2     8          14      14.000         100
     0     2     9          10      10.000         100
     0     2    10          10      10.000         100
     0     2    11           0       0.000           0
     0     3     0           0       0.000           0
     0     3     1          27      27.000         100
     0     3     2          39      39.000         100
     0     3     3          42      42.000         100
     0     3     4          48      48.000         100
     0     3     5          48      48.000         100
     0     3     6          48      48.000         100
     0     3     7          46      46.000         100
     0     3     8          42      42.000         100
     0     3     9          37      37.000         100
     0     3    10          29      29.000         100
     0     3    11           0       0.000           0
     0     4     0           0       0.000           0
     0     4     1          22      22.000         100
     0     4     2          30      30.000         100
     0     4     3          40      40.000         100
     0     4     4          47      47.000         100
     0     4     5          54      54.000         100
     0     4     6          57      57.000         100
     0     4     7          48      48.000         100
     0     4     8          43      43.000         100
     0     4     9          34      34.000         100
     0     4    10          23      23.000         100
     0     4    11           0       0.000           0
     0     5     0           0       0.000           0
     0     5     1          18      18.000         100
     0     5     2          25      25.000         100
     0     5     3          29      29.000         100
     0     5     4          32      32.000         100
     0     5     5          31      31.000         100
     0     5     6          28      28.000         100
     0     5     7          22      22.000         100
     0     5     8          18      18.000         100
     0     5     9          14      14.000         100
     0     5    10          11      11.000         100
     0     5    11           0       0.000           0
     0     6     0           0       0.000           0
     0     6     1          14      14.000         100
     0     6     2          13      13.000         100
     0     6     3          19      19.000         100
     0     6     4          21      21.000         100
     0     6     5          29      29.000         100
     0     6     6          36      36.000         100
     0     6     7          33      33.000         100
     0     6     8          33      33.000         100
     0     6     9          30      30.000         100
     0     6    10          23      23.000         100
     0     6    11           0       0.000           0
     0     7     0           0       0.000           0
     0     7     1          25      25.000         100
     0     7     2          33      33.000         100
     0     7     3          46      46.000         100
     0     7     4          49      49.000         100
     0     7     5          48      48.000         100
     0     7     6          43      43.000         100
     0     7     7          36      36.000         100
     0     7     8          30      30.000         100
     0     7     9          23      23.000         100
     0     7    10          18      18.000         100
     0     7    11           0       0.000           0
     0     8     0           0       0.000           0
     0     8     1          29      29.000         100
     0     8     2          38      38.000         100
     0     8     3          43      43.000         100
     0     8     4          43      43.000         100
     0     8     5          49      49.000         100
     0     8     6          41      41.000         100
     0     8     7          33      33.000         100
     0     8     8          24      24.000         100
     0     8     9          14      14.000         100
     0     8    10           7       7.000         100
     0     8    11           0       0.000           0
     0     9     0           0       0.000           0
     0     9     1          20      20.000         100
     0     9     2          26      26.000         100
     0     9     3          28      28.000         100
     0     9     4          29      29.000         100
     0     9     5          33      33.000         100
     0     9     6          33      33.000         100
     0     9     7          33      33.000         100
     0     9     8          29      29.000         100
     0     9     9          22      22.000         100
     0     9    10          16      16.000         100
     0     9    11           0       0.000           0
     0    10     0           0       0.000           0
     0    10     1           3       3.000         100
     0    10     2           2       2.000         100
     0    10     3           3       3.000         100
     0    10     4           5       5.000         100
     0    10     5           5       5.000         100
     0    10     6           9       9.000         100
     0    10     7          14      14.000         100
     0    10     8          13      13.000         100
     0    10     9          14      14.000         100
     0    10    10          13      13.000         100
     0    10    11           0       0.000           0
