benchmark,seed,adaptive_huber,baseline,gain (%)
bgm,1,18.6351,19.1944,2.9138707122910867
bgm,2,17.9871,18.9496,5.079262886815545
bgm,3,18.4152,19.986,7.859501651155819
bgm,4,18.1196,18.2236,0.5706885576944334
bgm,5,17.7617,17.8568,0.532570225348319
boundtop,1,1.93976,1.98104,2.0837539878043847
boundtop,2,1.96368,1.92328,-2.100578178944303
boundtop,3,2.02945,1.989,-2.0336852689793914
boundtop,4,2.07186,1.99593,-3.8042416317205543
boundtop,5,1.92107,1.83879,-4.474681720044167
ch_intrinsics,1,2.45199,2.44859,-0.1388554229168652
ch_intrinsics,2,2.45095,2.31747,-5.759729360034868
ch_intrinsics,3,2.31194,2.55582,9.542143030416863
ch_intrinsics,4,2.63017,2.4466,-7.5030654786233955
ch_intrinsics,5,2.1254,2.23962,5.099972316732303
diffeq1,1,21.9325,22.5813,2.8731738208163295
diffeq1,2,21.781,22.0557,1.2454830270633115
diffeq1,3,22.0934,22.1313,0.17125067212500164
diffeq1,4,22.1215,22.0778,-0.19793638858944815
diffeq1,5,21.8444,21.5478,-1.3764746285003646
diffeq2,1,17.1305,17.4691,1.9382795908203603
diffeq2,2,17.1711,17.8513,3.8103667520012507
diffeq2,3,17.6631,17.3773,-1.6446743740396854
diffeq2,4,17.8865,17.4884,-2.276366048352068
diffeq2,5,17.841,17.7392,-0.5738702985478532
mkPktMerge,1,4.10991,3.94384,-4.210870623554718
mkPktMerge,2,4.09774,4.39426,6.747893843331985
mkPktMerge,3,4.2405,3.9611,-7.0535962232713105
mkPktMerge,4,4.21149,4.11324,-2.3886279429355004
mkPktMerge,5,3.82002,3.95557,3.4268133290524463
stereovision3,1,2.36654,2.45056,3.428604074170792
stereovision3,2,2.45064,2.45056,-0.003264559937323714
stereovision3,3,2.3866,2.38057,-0.2533006800892215
stereovision3,4,2.45278,2.46807,0.6195124125328619
stereovision3,5,2.3866,2.38597,-0.02640435546130632
